Scaffold_name	Bin_name	Pfam	domain_name	Abundance
Bin_12_scaffold_873_c1_6	Bin_12	PF08241	Methyltransferase domain	1
Bin_113_scaffold_138_c1_50	Bin_113	PF08241	Methyltransferase domain	1
Bin_1_scaffold_142_c1_50	Bin_1	PF08241	Methyltransferase domain	1
Bin_113_scaffold_358_c1_15	Bin_113	PF01325	Iron dependent repressor, N-terminal DNA binding domain	1
Bin_113_scaffold_358_c1_15	Bin_113	PF04023	FeoA domain	1
Bin_113_scaffold_358_c1_15	Bin_113	PF02742	Iron dependent repressor, metal binding and dimerisation domain	1
Bin_1_scaffold_4_c1_15	Bin_1	PF01325	Iron dependent repressor, N-terminal DNA binding domain	1
Bin_1_scaffold_4_c1_15	Bin_1	PF04023	FeoA domain	1
Bin_1_scaffold_4_c1_15	Bin_1	PF02742	Iron dependent repressor, metal binding and dimerisation domain	1
Bin_113_scaffold_81_c1_53	Bin_113	PF09334	tRNA synthetases class I (M)	1
Bin_113_scaffold_81_c1_53	Bin_113	PF08264	Anticodon-binding domain of tRNA	1
Bin_113_scaffold_81_c1_53	Bin_113	PF01588	Putative tRNA binding domain	1
Bin_1_scaffold_4_c1_379	Bin_1	PF09334	tRNA synthetases class I (M)	1
Bin_1_scaffold_4_c1_379	Bin_1	PF08264	Anticodon-binding domain of tRNA	1
Bin_1_scaffold_4_c1_379	Bin_1	PF01588	Putative tRNA binding domain	1
Bin_2_scaffold_4_c1_295	Bin_2	PF07690	Major Facilitator Superfamily	1
Bin_10_scaffold_5_c1_378	Bin_10	PF07690	Major Facilitator Superfamily	1
Bin_10_scaffold_10_c1_251	Bin_10	PF02547	Queuosine biosynthesis protein	1
Bin_2_scaffold_12_c2_265	Bin_2	PF02547	Queuosine biosynthesis protein	1
Bin_113_scaffold_37_c2_78	Bin_113	PF00625	Guanylate kinase	1
Bin_1_scaffold_4_c1_140	Bin_1	PF00625	Guanylate kinase	1
Bin_1_scaffold_125_c1_83	Bin_1	PF01966	HD domain	1
Bin_1_scaffold_125_c1_83	Bin_1	PF01909	Nucleotidyltransferase domain	1
Bin_1_scaffold_125_c1_83	Bin_1	PF08335	GlnD PII-uridylyltransferase	1
Bin_113_scaffold_86_c1_133	Bin_113	PF01966	HD domain	1
Bin_113_scaffold_86_c1_133	Bin_113	PF01909	Nucleotidyltransferase domain	1
Bin_113_scaffold_86_c1_133	Bin_113	PF08335	GlnD PII-uridylyltransferase	1
